source	target	depth
police misconduct	photography is not a crime	3
police misconduct	presumption of guilt	3
police misconduct	prisoner abuse	3
police misconduct	professional courtesy	3
police misconduct	h. rap brown	3
police misconduct	antonio buehler	3
police misconduct	patricia feerick	3
police misconduct	rodney king	3
police misconduct	2008 greek riots	3
police misconduct	abner louima	3
police misconduct	cory maye	3
police misconduct	adrian schoolcraft	3
police misconduct	frank serpico	3
police misconduct	richard cain	3
police misconduct	lon horiuchi	3
police misconduct	bernard kerik	3
police misconduct	stacey koon	3
police misconduct	johannes mehserle	3
police misconduct	patrick pogan	3
police misconduct	salvatore rivieri	3
police misconduct	roger rogerson	3
police misconduct	justin volpe	3
police misconduct	39th district corruption scandal	3
police misconduct	conflicts involving critical mass	3
police misconduct	death of jean charles de menezes	3
police misconduct	death of harry stanley	3
police misconduct	death of otto zehm	3
police misconduct	knapp commission	3
police misconduct	the los angeles may day mêlée	3
police misconduct	scandals and allegations of the new york city police department	3
police misconduct	move	3
police misconduct	nypd subway sodomy incident	3
police misconduct	rampart scandal	3
police misconduct	shooting of sean bell	3
police misconduct	shooting of oscar grant	3
police misconduct	shooting of corey jackson	3
police misconduct	shooting of kathryn johnston	3
police misconduct	wickersham report	3
police misconduct	christopher commission	3
police misconduct	cointelpro	3
police misconduct	fbi	3
police misconduct	internal affairs (law enforcement)	3
police misconduct	newham monitoring project	3
police misconduct	people's law office	3
penal harm	prisoner abuse	3
penal harm	law and order (politics)	3
extermination through labor	hunger plan	3
extermination through labor	penal labour	3
extermination through labor	jägerstab	3
extermination through labor	labour battalions (ottoman empire)	3
extermination through labor	death march	3
extermination through labor	utilitarian genocide	3
utilitarian genocide	mercantilism	4
death march	carolean death march	4
death march	samsun deportations	4
death march	march of the living	4
death march	assyrian genocide	4
death march	greek genocide	4
death march	forced displacement	4
death march	population exchange between greece and turkey	4
jägerstab	german aircraft production during world war ii	4
penal labour	slavery in the 21st century	4
penal labour	ashurst-sumners act	4
penal labour	chain gang	4
penal labour	community service	4
penal labour	convict lease	4
penal labour	coproduction of public services by service users and communities	4
penal labour	galley slave	4
penal labour	trusty system (prison)	4
penal labour	unicor	4
hunger plan	effect of the siege of leningrad on the city	4
hunger plan	extermination of soviet prisoners of war by nazi germany	4
hunger plan	final solution	4
hunger plan	late victorian holocausts	4
hunger plan	lebensraum	4
hunger plan	operation vegetarian	4
hunger plan	war crimes of the wehrmacht	4
law and order (politics)	back to basics (campaign)	4
law and order (politics)	civil disobedience	4
law and order (politics)	culture war	4
law and order (politics)	ira carmen	4
law and order (politics)	justice of the peace	4
law and order (politics)	peace, order and good government	4
law and order (politics)	queen's peace	4
law and order (politics)	penal harm	4
law and order (politics)	penal populism	4
law and order (politics)	three-strikes law	4
law and order (politics)	war on drugs	4
law and order (politics)	wedge politics	4
law and order (politics)	zero tolerance	4
law and order (politics)	zucht und ordnung	4
internal affairs (law enforcement)	police complaints authority	4
internal affairs (law enforcement)	office of police integrity	4
internal affairs (law enforcement)	her majesty's inspectorate of constabulary	4
internal affairs (law enforcement)	independent office for police conduct	4
internal affairs (law enforcement)	police integrity commission	4
internal affairs (law enforcement)	nsw	4
internal affairs (law enforcement)	independent broad-based anti-corruption commission	4
internal affairs (law enforcement)	victoria (australia)	4
internal affairs (law enforcement)	investigative committee of russia	4
internal affairs (law enforcement)	russia	4
internal affairs (law enforcement)	provost (military police)	4
internal affairs (law enforcement)	infernal affairs	4
internal affairs (law enforcement)	special investigations unit	4
internal affairs (law enforcement)	garda síochána ombudsman commission	4
internal affairs (law enforcement)	republic of ireland	4
internal affairs (law enforcement)	independent police conduct authority	4
fbi	bureau of alcohol, tobacco, firearms and explosives	4
fbi	diplomatic security service	4
fbi	law enforcement in the united states	4
fbi	state bureau of investigation	4
fbi	united states marshals service	4
fbi	fbi honorary medals	4
fbi	fbi victims identification project	4
fbi	history of espionage	4
fbi	inspector	4
fbi	society of former special agents of the federal bureau of investigation	4
cointelpro	1971 (2014 film)	4
cointelpro	active measures	4
cointelpro	agent provocateur	4
cointelpro	all power to the people	4
cointelpro	cold war	4
cointelpro	denial and deception	4
cointelpro	mark felt	4
cointelpro	deep throat (watergate)	4
cointelpro	fbi national security branch	4
cointelpro	joint terrorism task force	4
cointelpro	joint threat research intelligence group	4
cointelpro	laird v. tatum	4
cointelpro	mass surveillance in the united states	4
cointelpro	mainway	4
cointelpro	nsa warrantless surveillance (2001–2007)	4
cointelpro	operation mockingbird	4
cointelpro	patriot act	4
cointelpro	profunc	4
cointelpro	red squad	4
cointelpro	security	4
cointelpro	state terrorism	4
cointelpro	surveillance abuse	4
cointelpro	thermcon	4
cointelpro	zersetzung	4
wickersham report	bureau of prohibition	4
wickersham report	preparedness day bombing	4
wickersham report	thomas mooney	4
wickersham report	warren k billings	4
wickersham report	edwin atherton	4
shooting of kathryn johnston	obstruction of justice	4
shooting of kathryn johnston	police brutality	4
shooting of kathryn johnston	police corruption	4
shooting of oscar grant	slips and capture	4
shooting of sean bell	contagious shooting	4
shooting of sean bell	jean-charles de menezes	4
shooting of sean bell	johnny gammage	4
shooting of sean bell	ousmane zongo	4
shooting of sean bell	amadou diallo	4
shooting of sean bell	nightlife legislation of the united states	4
rampart scandal	christopher commission	4
rampart scandal	police brutality	4
rampart scandal	police corruption	4
rampart scandal	lynwood vikings	4
move	david shrager	4
move	neo-luddite	4
move	partisan defense committee	4
scandals and allegations of the new york city police department	new york city civilian complaint review board	4
scandals and allegations of the new york city police department	encounter killings by police	4
scandals and allegations of the new york city police department	death in custody	4
scandals and allegations of the new york city police department	gypsy cop	4
scandals and allegations of the new york city police department	police surveillance in new york city	4
knapp commission	serpico	4
knapp commission	mollen commission	4
knapp commission	royal commission into the new south wales police service	4
knapp commission	police corruption	4
knapp commission	political corruption	4
knapp commission	police brutality	4
knapp commission	new york city police commissioner	4
knapp commission	new york city police department corruption and misconduct	4
death of otto zehm	positional asphyxia	4
death of harry stanley	death of mark duggan	4
death of harry stanley	death of ian tomlinson	4
death of harry stanley	death of jean charles de menezes	4
death of harry stanley	death of azelle rodney	4
death of harry stanley	death of blair peach	4
death of harry stanley	death of kevin gately	4
death of harry stanley	police use of firearms in the united kingdom	4
death of jean charles de menezes	police use of firearms in the united kingdom	4
death of jean charles de menezes	law enforcement in the united kingdom	4
justin volpe	joseph gray (police officer)	4
justin volpe	frank lino	4
justin volpe	prospect park alleged police sodomy incident	4
justin volpe	police brutality in the united states	4
salvatore rivieri	crime in baltimore	4
johannes mehserle	slips and capture	4
bernard kerik	unsuccessful nominations to the cabinet of the united states	4
frank serpico	new york city police department corruption and misconduct	4
frank serpico	adrian schoolcraft	4
frank serpico	robert leuci	4
adrian schoolcraft	knapp commission	4
adrian schoolcraft	mollen commission	4
adrian schoolcraft	frank serpico	4
adrian schoolcraft	robert leuci	4
adrian schoolcraft	compstat	4
adrian schoolcraft	political abuse of psychiatry in the united states	4
cory maye	steven hayne	4
cory maye	ryan frederick	4
abner louima	joseph gray (police officer)	4
abner louima	frank lino	4
abner louima	prospect park alleged police sodomy incident	4
abner louima	police brutality in the united states	4
2008 greek riots	1981 england riots	4
2008 greek riots	los angeles riots of 1992	4
2008 greek riots	december 2001 riots in argentina	4
2008 greek riots	2005 civil unrest in france	4
2008 greek riots	2006 dublin riots	4
2008 greek riots	2006 youth protests in france	4
2008 greek riots	2011 england riots	4
2008 greek riots	2013 protests in turkey	4
2008 greek riots	2014 ferguson unrest	4
2008 greek riots	anarchism in greece	4
rodney king	history of african americans in los angeles	4
h. rap brown	timeline of the civil rights movement	4
photography is not a crime	chilling effect	4
photography is not a crime	freedom of the press in the united states	4
photography is not a crime	police accountability	4
mass arrest	arbitrary arrest and detention	4
lists of killings by law enforcement officers	encounter killings by police	4
lists of killings by law enforcement officers	extrajudicial killings	4
lists of killings by law enforcement officers	suicide by cop	4
gypsy cop	blue wall of silence	4
contempt of cop	failure to obey a police order	4
contempt of cop	driving while black	4
contempt of cop	driving while intoxicated	4
contempt of cop	law enforcement in the united states	4
contempt of cop	salvatore rivieri	4
contempt of cop	hartman v. moore	4
human rights in israel	human rights organization of judea and samaria	4
human rights in israel	human rights in the palestinian territories	4
human rights in israel	human rights in egypt	4
human rights in israel	human rights in syria	4
human rights in israel	human rights in lebanon	4
human rights in israel	human rights in jordan	4
human rights in israel	human rights in iran	4
prisoner rights in the united states	human rights in the united states	4
prisoner rights in the united states	decarceration in the united states	4
prisoner rights in the united states	prisoner abuse in the united states	4
prisoner rights in the united states	penal labor in the united states	4
prisoner rights in the united states	prison rape in the united states	4
prisoner rights in the united states	organ donation in the united states prison population	4
prison strike	prisoners' rights	4
prison strike	strike action	4
sentencing disparity	focal concerns theory	4
sentencing disparity	men's rights	4
sentencing disparity	sentence (law)	4
standard minimum rules for the treatment of prisoners	prisoner's rights	4
prison abolition movement	angela davis	4
prison abolition movement	convict lease	4
prison abolition movement	criminal justice reform	4
prison abolition movement	emma goldman	4
prison abolition movement	fay honey knopp	4
prison abolition movement	exile	4
prison abolition movement	frankie boyle	4
prison abolition movement	louk hulsman	4
prison abolition movement	mentally ill people in united states jails and prisons	4
prison abolition movement	nils christie	4
prison abolition movement	penal labor	4
prison abolition movement	restorative justice	4
prison abolition movement	thomas mathiesen	4
prison abolition movement	prison-industrial complex	4
prison abolition movement	transformative justice	4
prison abolition movement	pacifism	4
prisoners' union	human rights in russia	4
prisoners' union	prison abolition movement	4
prisoners' union	prisoners' rights	4
november coalition	prisoners' rights	4
november coalition	war on drugs	4
november coalition	drug policy alliance	4
november coalition	students for sensible drug policy	4
november coalition	national organization for reform of marijuana laws	4
november coalition	marijuana policy project	4
lgbt people in prison	homelessness among lgbt youth in the united states	4
lgbt people in prison	intersex human rights	4
lgbt people in prison	lgbt people in american prisons	4
lgbt people in prison	the transgender archives at the university of victoria	4
amnesty international	ambassador of conscience award	4
amnesty international	100 days campaign	4
amnesty international	amnesty international uk media awards	4
amnesty international	world coalition against the death penalty	4
amnesty international	nayirah testimony	4
african-american family structure	african american culture	4
african-american family structure	family structure in the united states	4
african-american family structure	feminization of poverty	4
institutional racism	bisbee deportation	4
institutional racism	black power: the politics of liberation	4
institutional racism	critical race theory	4
institutional racism	environmental racism	4
institutional racism	first world privilege	4
institutional racism	institutional abuse	4
institutional racism	institutionalized discrimination	4
institutional racism	ketuanan melayu	4
institutional racism	legacy preferences	4
institutional racism	national origins formula	4
institutional racism	race and crime	4
institutional racism	race and health	4
institutional racism	structural violence	4
institutional racism	teaching for social justice	4
institutional racism	weaver v natfhe	4
institutional racism	white privilege	4
institutional racism	australia (2008 film)	4
capital punishment	death in custody	4
capital punishment	judicial dissolution	4
capital punishment	mandatory death sentence	4
capital punishment	world coalition against the death penalty	4
capital punishment	un moratorium on the death penalty	4
capital punishment	the death penalty: opposing viewpoints	4
capital punishment	revenge	4
capital punishment	shame culture	4
capital punishment	guilt-shame-fear spectrum of cultures	4
capital punishment	last meal	4
prisoner suicide	death in custody	4
prisoner suicide	death row phenomenon	4
prisoner suicide	estelle v. gamble	4
prisoner suicide	guantanamo bay detention camp suicide attempts	4
prisoner suicide	philip markoff	4
extrajudicial killing	arbitrary arrest and detention	4
extrajudicial killing	assassination	4
extrajudicial killing	deadly force	4
extrajudicial killing	death squad	4
extrajudicial killing	encounter killing	4
extrajudicial killing	extraordinary rendition	4
extrajudicial killing	extrajudicial punishment	4
extrajudicial killing	human rights	4
extrajudicial killing	israeli targeted killings	4
extrajudicial killing	jungle justice	4
extrajudicial killing	manhunt (law enforcement)	4
extrajudicial killing	manhunt (military)	4
extrajudicial killing	posse comitatus (common law)	4
extrajudicial killing	purge	4
extrajudicial killing	summary execution	4
extrajudicial killing	targeted killing	4
extrajudicial killing	terrorism	4
extrajudicial killing	the troubles	4
extrajudicial killing	vigilante	4
war on drugs	baker (military code-name)	4
war on drugs	civil forfeiture in the united states	4
war on drugs	class conflict	4
war on drugs	cognitive liberty	4
war on drugs	crack epidemic	4
war on drugs	drugs in the united states	4
war on drugs	latin american drug legalization	4
war on drugs	mexican drug war	4
war on drugs	philippine drug war	4
war on drugs	prison-industrial complex	4
war on drugs	race war	4
war on drugs	recreational use of drugs	4
war on drugs	war on gangs	4
war on drugs	allegations of cia drug trafficking	4
war on drugs	golden crescent	4
war on drugs	golden triangle (southeast asia)	4
war on drugs	iran contra	4
war on drugs	military cooperation with civilian law enforcement agencies act	4
war on drugs	opium war	4
war on drugs	paramilitarism in colombia	4
war on drugs	plan colombia	4
war on drugs	umopar	4
war on drugs	air bridge denial program	4
war on drugs	continuing criminal enterprise	4
war on drugs	marijuana control, regulation, and education act	4
war on drugs	office of national drug control policy	4
war on drugs	united nations drug control programme	4
war on drugs	drug policy alliance	4
war on drugs	marijuana policy project	4
war on drugs	law enforcement against prohibition	4
war on drugs	norml	4
war on drugs	november coalition	4
war on drugs	students for sensible drug policy	4
war on drugs	transform drug policy foundation	4
war on drugs	beckley foundation	4
war on drugs	drug free america foundation	4
war on drugs	partnership for a drug-free america	4
war on drugs	woman's christian temperance union	4
war on drugs	world federation against drugs	4
private prison	convict lease	4
private prison	correctional services corporation	4
private prison	east mississippi correctional facility	4
private prison	prison–industrial complex	4
private prison	prison abolition movement	4
private prison	critical resistance	4
private prison	angela davis	4
private prison	private probation	4
private prison	privatization	4
private prison	public–private partnership	4
private prison	wackenhut	4
private prison	walnut grove correctional facility	4
private prison	winn correctional center	4
prison overcrowding	mandatory sentencing	4
life imprisonment	10-20-life	4
life imprisonment	incapacitation (penology)	4
life imprisonment	indefinite imprisonment	4
life imprisonment	use of capital punishment by country	4
infectious diseases within american prisons	criminal transmission of hiv in the united states	4
infectious diseases within american prisons	organ donation in the united states prison population	4
infectious diseases within american prisons	incarceration of women in the united states	4
infectious diseases within american prisons	prison industrial complex	4
infectious diseases within american prisons	incarceration in the united states	4
infectious diseases within american prisons	war on drugs	4
detention (imprisonment)	arbitrary arrest and detention	4
detention (imprisonment)	correctional medicine	4
detention (imprisonment)	civil liberties	4
detention (imprisonment)	defence regulation 18b	4
detention (imprisonment)	remand (detention)	4
detention (imprisonment)	human rights	4
detention (imprisonment)	legal awareness	4
detention (imprisonment)	illegal combatant	4
detention (imprisonment)	immigration detention	4
detention (imprisonment)	older prisoners	4
detention (imprisonment)	prison reform	4
detention (imprisonment)	prisoner	4
detention (imprisonment)	quasi-criminal	4
detention (imprisonment)	restorative justice	4
detention (imprisonment)	security certificate	4
detention (imprisonment)	summary jurisdiction	4
detention (imprisonment)	extrajudicial detention	4
capital punishment in the united states	capital punishment debate in the united states	4
capital punishment in the united states	capital punishment by the united states federal government	4
capital punishment in the united states	capital punishment by the united states military	4
capital punishment in the united states	capital punishment for juveniles in the united states	4
capital punishment in the united states	lists of people executed in the united states	4
iraq prison abuse scandals	abu ghraib torture and prisoner abuse	3
iraq prison abuse scandals	abuse	3
iraq prison abuse scandals	black site	3
iraq prison abuse scandals	bagram torture and prisoner abuse	3
iraq prison abuse scandals	command responsibility	3
iraq prison abuse scandals	crime against humanity	3
iraq prison abuse scandals	geneva conventions	3
iraq prison abuse scandals	international humanitarian law	3
iraq prison abuse scandals	international law	3
iraq prison abuse scandals	iraq historic allegations team	3
iraq prison abuse scandals	jus ad bellum	3
iraq prison abuse scandals	jus in bello	3
iraq prison abuse scandals	military abuse	3
iraq prison abuse scandals	nuremberg principles	3
iraq prison abuse scandals	torture	3
iraq prison abuse scandals	united nations convention against torture	3
iraq prison abuse scandals	war crimes	3
iraq prison abuse scandals	war crimes act of 1996	3
iraq prison abuse scandals	2006 german troops controversy	3
prisoner abuse in the united states	human rights violations by the cia	3
prisoner abuse in the united states	human rights record of the united states	3
prisoner abuse in the united states	people's republic of china	3
prisoner abuse in the united states	united states and state terrorism	3
prisoner abuse in the united states	unethical human experimentation in the united states	3
prisoner abuse in the united states	pennsylvania abolition society	3
prisoner abuse in the united states	national organization for women	3
prisoner abuse in the united states	us human rights network	3
prisoner abuse in the united states	susan b. anthony	3
prisoner abuse in the united states	anthony benezet	3
prisoner abuse in the united states	mary bonauto	3
prisoner abuse in the united states	louis henkin	3
prisoner abuse in the united states	gay mcdougall	3
prisoner abuse in the united states	gloria steinem	3
prisoner abuse in the united states	four freedoms	3
prisoner abuse in the united states	franklin d. roosevelt	3
prisoner abuse in the united states	second bill of rights	3
abu ghraib torture and prisoner abuse	bagram torture and prisoner abuse	3
abu ghraib torture and prisoner abuse	camp nama	3
abu ghraib torture and prisoner abuse	copper green	3
abu ghraib torture and prisoner abuse	emad al-janabi	3
abu ghraib torture and prisoner abuse	fob ramrod kill team	3
abu ghraib torture and prisoner abuse	human rights in post-invasion iraq	3
abu ghraib torture and prisoner abuse	iraq prison abuse scandals	3
abu ghraib torture and prisoner abuse	stanford prison experiment	3
abu ghraib torture and prisoner abuse	the dark side (book)	3
abu ghraib torture and prisoner abuse	taxi to the dark side	3
abu ghraib torture and prisoner abuse	the lucifer effect	3
abu ghraib torture and prisoner abuse	ashraf abdullah ahsy	3
abu ghraib torture and prisoner abuse	criticism of the war on terror	3
abu ghraib torture and prisoner abuse	disarmed enemy forces	3
abu ghraib torture and prisoner abuse	human rights record of the united states	3
abu ghraib torture and prisoner abuse	international criminal court and the 2003 invasion of iraq	3
abu ghraib torture and prisoner abuse	joe ryan (interrogator)	3
abu ghraib torture and prisoner abuse	legal issues related to the september 11 attacks	3
abu ghraib torture and prisoner abuse	milgram experiment	3
abu ghraib torture and prisoner abuse	nuremberg principles	3
abu ghraib torture and prisoner abuse	sexual assault in the united states military	3
abu ghraib torture and prisoner abuse	superior orders	3
abu ghraib torture and prisoner abuse	review conference of the international criminal court statute	3
abu ghraib torture and prisoner abuse	united states and the international criminal court	3
abu ghraib torture and prisoner abuse	united states war crimes	3
blue wall of silence	internal affairs (law enforcement)	4
blue wall of silence	omertà	4
blue wall of silence	christopher dorner	4
blue wall of silence	joseph gray (police officer)	4
blue wall of silence	spiral of silence	4
blue wall of silence	joe sánchez	4
blue wall of silence	adrian schoolcraft	4
blue wall of silence	gypsy cop	4
blue wall of silence	west midlands serious crime squad	4
united states war crimes	wikileaks	4
united states war crimes	command responsibility	4
united states war crimes	united states and the international criminal court	4
united states war crimes	american service-members' protection act	4
united states war crimes	torture and the united states	4
united states war crimes	human rights in the united states	4
united states war crimes	united states and state-sponsored terrorism	4
united states war crimes	united states and state terrorism	4
united states war crimes	world war ii	4
united states war crimes	american mutilation of japanese war dead	4
united states war crimes	vietnam war	4
united states war crimes	vietnam war crimes working group files	4
united states war crimes	operation speedy express	4
united states war crimes	operation menu	4
united states war crimes	phoenix program	4
united states war crimes	tiger force	4
united states war crimes	russell tribunal	4
united states war crimes	war on terror	4
united states war crimes	senate intelligence committee report on cia torture	4
united states war crimes	enhanced interrogation techniques	4
united states war crimes	war in afghanistan (2001–present)	4
united states war crimes	bagram torture and prisoner abuse	4
united states war crimes	kandahar massacre	4
united states war crimes	maywand district murders	4
united states war crimes	iraq war	4
united states war crimes	abu ghraib torture and prisoner abuse	4
united states war crimes	mahmudiyah killings	4
united states war crimes	haditha killings	4
united states war crimes	john e. hatley	4
united states war crimes	hamdania incident	4
united states war crimes	the international criminal court and the 2003 invasion of iraq	4
united states and the international criminal court	command responsibility	4
united states and the international criminal court	human rights in the united states	4
united states and the international criminal court	nuremberg principles	4
united states and the international criminal court	international criminal court and the 2003 invasion of iraq	4
united states and the international criminal court	united states war crimes	4
superior orders	anton dostler	4
superior orders	command responsibility	4
superior orders	führerprinzip	4
superior orders	international legal theory	4
superior orders	laws of war	4
superior orders	nuremberg principles	4
superior orders	peter von hagenbach	4
superior orders	radbruch formula	4
superior orders	respondeat superior	4
superior orders	rule of law in armed conflicts project	4
superior orders	sources of international law	4
superior orders	vicarious liability	4
sexual assault in the united states military	sexual harassment in the military	4
sexual assault in the united states military	sexual assault prevention and response	4
sexual assault in the united states military	sexual assault	4
sexual assault in the united states military	sexual violence	4
sexual assault in the united states military	military sexual trauma	4
sexual assault in the united states military	women in the military	4
sexual assault in the united states military	rape in the united states of america	4
sexual assault in the united states military	rape during the liberation of france	4
sexual assault in the united states military	rape during the occupation of germany	4
sexual assault in the united states military	rape during the occupation of japan	4
sexual assault in the united states military	abu ghraib torture and prisoner abuse	4
sexual assault in the united states military	institutional betrayal	4
sexual assault in the united states military	yumiko-chan incident	4
sexual assault in the united states military	tailhook scandal	4
sexual assault in the united states military	1995 okinawa rape incident	4
sexual assault in the united states military	michael brown okinawa assault incident	4
sexual assault in the united states military	mahmudiyah killings	4
sexual assault in the united states military	aberdeen scandal	4
sexual assault in the united states military	2003 united states air force academy sexual assault scandal	4
sexual assault in the united states military	united states air force basic training scandal	4
nuremberg principles	command responsibility	4
nuremberg principles	geneva conventions	4
nuremberg principles	international criminal court	4
nuremberg principles	international legal theory	4
nuremberg principles	laws of war	4
nuremberg principles	london charter of the international military tribunal	4
nuremberg principles	nuremberg code	4
nuremberg principles	nuremberg trials	4
nuremberg principles	rule of law in armed conflicts project	4
nuremberg principles	rule of law	4
nuremberg principles	rule according to higher law	4
nuremberg principles	sources of international law	4
milgram experiment	authority bias	4
milgram experiment	banality of evil	4
milgram experiment	belief perseverance	4
milgram experiment	hofling hospital experiment	4
milgram experiment	human experimentation in the united states	4
milgram experiment	law of due obedience	4
milgram experiment	little eichmanns	4
milgram experiment	moral disengagement	4
milgram experiment	my lai massacre	4
milgram experiment	obedience (human behavior)	4
milgram experiment	social influence	4
milgram experiment	stanford prison experiment	4
milgram experiment	superior orders	4
milgram experiment	the third wave (experiment)	4
milgram experiment	christopher browning	4
international criminal court and the 2003 invasion of iraq	international criminal court and venezuela	4
international criminal court and the 2003 invasion of iraq	command responsibility	4
international criminal court and the 2003 invasion of iraq	abu ghraib torture and prisoner abuse	4
international criminal court and the 2003 invasion of iraq	american non-governmental organizations coalition for the international criminal court	4
international criminal court and the 2003 invasion of iraq	benjamin b. ferencz	4
international criminal court and the 2003 invasion of iraq	war crimes committed by the united states	4
international criminal court and the 2003 invasion of iraq	mukaradeeb wedding party massacre	4
international criminal court and the 2003 invasion of iraq	donald payne (british army soldier)	4
international criminal court and the 2003 invasion of iraq	july 12, 2007, baghdad airstrike	4
human rights record of the united states	history of human rights	4
human rights record of the united states	human rights	4
human rights record of the united states	human rights in the people's republic of china	4
human rights record of the united states	human rights in the united states	4
human rights record of the united states	national human rights action plan	4
disarmed enemy forces	debellatio	4
disarmed enemy forces	surrendered enemy personnel	4
disarmed enemy forces	surrendered italian personnel	4
disarmed enemy forces	japanese surrendered personnel	4
disarmed enemy forces	foreign forced labor in the soviet union	4
disarmed enemy forces	forced labour under german rule during world war ii	4
disarmed enemy forces	prisoner of war	4
criticism of the war on terror	2003 invasion of iraq	4
criticism of the war on terror	abu ghraib torture and prisoner abuse	4
criticism of the war on terror	bagram torture and prisoner abuse	4
criticism of the war on terror	black site	4
criticism of the war on terror	canadian afghan detainee abuse scandal	4
criticism of the war on terror	extraordinary rendition by the united states	4
criticism of the war on terror	guantanamo bay detainment camp	4
criticism of the war on terror	international public opinion on the war in afghanistan	4
criticism of the war on terror	nsa warrantless surveillance controversy	4
criticism of the war on terror	opposition to the iraq war	4
criticism of the war on terror	opposition to the war in afghanistan (2001–present)	4
criticism of the war on terror	protests against the invasion of afghanistan	4
criticism of the war on terror	standard operating procedure (film)	4
criticism of the war on terror	unlawful combatant	4
criticism of the war on terror	usa patriot act	4
criticism of the war on terror	war in afghanistan (2001–present)	4
criticism of the war on terror	war against islam	4
criticism of the war on terror	anwar al-awlaki	4
ashraf abdullah ahsy	bagram torture and prisoner abuse	4
ashraf abdullah ahsy	camp nama	4
ashraf abdullah ahsy	copper green	4
ashraf abdullah ahsy	emad al-janabi	4
ashraf abdullah ahsy	fob ramrod kill team	4
ashraf abdullah ahsy	human rights in post-invasion iraq	4
ashraf abdullah ahsy	iraq prison abuse scandals	4
ashraf abdullah ahsy	stanford prison experiment	4
ashraf abdullah ahsy	the dark side (book)	4
ashraf abdullah ahsy	taxi to the dark side	4
ashraf abdullah ahsy	the lucifer effect	4
ashraf abdullah ahsy	criticism of the war on terror	4
ashraf abdullah ahsy	disarmed enemy forces	4
ashraf abdullah ahsy	human rights record of the united states	4
ashraf abdullah ahsy	international criminal court and the 2003 invasion of iraq	4
ashraf abdullah ahsy	joe ryan (interrogator)	4
ashraf abdullah ahsy	legal issues related to the september 11 attacks	4
ashraf abdullah ahsy	milgram experiment	4
ashraf abdullah ahsy	nuremberg principles	4
ashraf abdullah ahsy	sexual assault in the united states military	4
ashraf abdullah ahsy	superior orders	4
ashraf abdullah ahsy	review conference of the international criminal court statute	4
ashraf abdullah ahsy	united states and the international criminal court	4
